Unique ID,Sample Number,Year,Street,Cross Street,"City,State",Full Address,Initials,Notes,Lead,Barium,Manganese,Zinc,Chromium,Arsenic,Copper,Mercury,Nickel,Selenium,Silver,Antimony,Cadimum,Iron
1-2015,1,2015,Adelphi , Amherst,"Austin, TX","Adelphi & Amherst,Austin, TX",MB,,24,,440,83,,,38,,,,,,,
3-2015,3,2015,Blessing , E. Anderson,"Austin, TX","Blessing & E. Anderson,Austin, TX",MB,,15,,150,54,,,,,,,,,,
4-2015,4,2015,Cameron , E. Anderson,"Austin, TX","Cameron & E. Anderson,Austin, TX",MB,,,120,190,,,,,,,,,,,
5-2015,5,2015,Lake Austin , Mopac,"Austin, TX","Lake Austin & Mopac,Austin, TX",CW,,27,,170,67,,,,,,,,,,
6-2015,6,2015,Waterson , Mopac,"Austin, TX","Waterson & Mopac,Austin, TX",CW,,190,,210,360,,,,,,,,,,
7-2015,7,2015,Bear Creek , FM 1826,"Austin, TX","Bear Creek & FM 1826,Austin, TX",MH,,21,,410,94,,,51,,,,,,,
15-2015,15,2015,Terrace , Eastside,"Austin, TX","Terrace & Eastside,Austin, TX",ZD,,19,,250,130,,,52,,,,,,,
16-2015,16,2015,Kemp , Clovis,"Austin, TX","Kemp & Clovis,Austin, TX",RM,,15,110,230,100,,,,,,,,,,
22-2015,22,2015,C.Chavez , Mopac,"Austin, TX","C.Chavez & Mopac,Austin, TX",,,15,,200,60,,,37,,,,,,,
24-2015,24,2015,Mancha , TX Hwy 71,"Austin, TX","Mancha & TX Hwy 71,Austin, TX",MB,,52,,610,690,,,,,,,,,,
29-2015,29,2015,Gardenia Garden , White Rock Dr.,"Austin, TX","Gardenia Garden & White Rock Dr.,Austin, TX",MSR,,,,360,51,,,,,,,,,,
34-2015,34,2015,Jasmine , White Rock Dr.,"Austin, TX","Jasmine & White Rock Dr.,Austin, TX",MSR,,23,,300,71,,,,,,,,,,
36-2015,36,2015,MKL , EM Franklin,"Austin, TX","MKL & EM Franklin,Austin, TX",MP,,59,,200,110,,,,,,,,,,
41-2015,41,2015,Cameron , E. Anderson,"Austin, TX","Cameron & E. Anderson,Austin, TX",MB,,18,,190,66,,,,,,,,,,
48-2015,48,2015,S. 1st , Stassney,"Austin, TX","S. 1st & Stassney,Austin, TX",RM,,18,,190,66,,,,,,,,,,
50-2015,50,2015,Blackberry , Lunar,"Austin, TX","Blackberry & Lunar,Austin, TX",CE,,13,,210,85,,,,,,,,,,
51-2015,51,2015,Blackberry , Lunar,"Austin, TX","Blackberry & Lunar,Austin, TX",CE,,,,140,45,,,,,,,,,,
54-2015,54,2015,Blackberry , Lunar,"Austin, TX","Blackberry & Lunar,Austin, TX",,,,,160,38,,,,,,,,,,
56-2015,56,2015,Blackberry , Lunar,"Austin, TX","Blackberry & Lunar,Austin, TX",CE,,,,160,54,,,39,,,,,,,
69-2015,69,2015,Walnut Ave. , 32nd,"Austin, TX","Walnut Ave. & 32nd,Austin, TX",DLP,,14,,290,140,,,40,,,,,,,
71-2015,71,2015,Holly , Robert Martinez,"Austin, TX","Holly & Robert Martinez,Austin, TX",MB,,50,250,250,120,,,,,,,,,,
73-2015,73,2015,Joe Sayers , Woodrow,"Austin, TX","Joe Sayers & Woodrow,Austin, TX",AL,,16,,230,100,,,,,,,,,,
75-2015,75,2015,Koenig , Burnet,"Austin, TX","Koenig & Burnet,Austin, TX",LW,,,,380,120,,,,,,,,,,
76-2015,76,2015,Koenig , Burnet,"Austin, TX","Koenig & Burnet,Austin, TX",LW,*see nutrients spreadsheet,,190,270,38,,,,,,,,,,
78-2015,78,2015,Grover , Woodrow,"Austin, TX","Grover & Woodrow,Austin, TX",LW,,100,,230,94,,,37,,,,,,,
95-2015,95,2015,Oxford , Valeria,"Austin, TX","Oxford & Valeria,Austin, TX",ML,,59,,470,98,,,,,,,,,,
96-2015,96,2015,Oxford , Valeria,"Austin, TX","Oxford & Valeria,Austin, TX",ML,,52,,410,96,,,36,,,,,,,
98-2015,98,2015,Attar Cove , Charing Cross,"Austin, TX","Attar Cove & Charing Cross,Austin, TX",AR,,16,,230,68,,,,,,,,,,
115-2015,115,2015,Vineland , E. 40th,"Austin, TX","Vineland & E. 40th,Austin, TX",DB,*see nutrients spreadsheet,16,,220,140,,,,,,,,,,
120-2015,120,2015,MLK , Springdale,"Austin, TX","MLK & Springdale,Austin, TX",,,16,,140,110,,,110,,,,,,,
121-2015,121,2015,MLK , Springdale,"Austin, TX","MLK & Springdale,Austin, TX",,*see nutrients spreadsheet,26,,180,62,,,,,,,,,,
128-2015,128,2015,Prairie Hen Ln , Hidden Quail,"Austin, TX","Prairie Hen Ln & Hidden Quail,Austin, TX",SPH,,16,110,300,91,,,,,,,,,,
129-2015,129,2015,Prairie Hen Ln , Hidden Quail,"Austin, TX","Prairie Hen Ln & Hidden Quail,Austin, TX",SPH,,65,,260,210,,,,,,,,,,
134-2015,134,2015,Single Trace , Townhill,"Austin, TX","Single Trace & Townhill,Austin, TX",,*see nutrients spreadsheet,17,,190,55,,,36,,,,,,,
135-2015,135,2015,Antoinette Pl. , Cabana Ln.,"Austin, TX","Antoinette Pl. & Cabana Ln.,Austin, TX",,*see nutrients spreadsheet,,,130,37,,,,,,,,,,
138-2015,138,2015,Walnut , Hemlock,"Austin, TX","Walnut & Hemlock,Austin, TX",SW,,26,,180,62,,,,,,,,,,
139-2015,139,2015,Walnut , Hemlock,"Austin, TX","Walnut & Hemlock,Austin, TX",SW,,44,,290,110,,,,,,,,,,
140-2015,140,2015,Walnut , Manor,"Austin, TX","Walnut & Manor,Austin, TX",SW,,,,,,,,,,,,,,,
141-2015,141,2015,Walnut , Hemlock,"Austin, TX","Walnut & Hemlock,Austin, TX",SW,,22,230,540,28,,,,,,,,,,
145-2015,145,2015,Emerald Wood , S. 1st,"Austin, TX","Emerald Wood & S. 1st,Austin, TX",EM,,22,,400,59,,,,,,,,,,
153-2015,153,2015,Byron , Durnberry,"Austin, TX","Byron & Durnberry,Austin, TX",JHC,,,,130,37,,,,,,,,,,
154-2015,154,2015,Byron , Durnberry,"Austin, TX","Byron & Durnberry,Austin, TX",JHC,*see nutrients spreadsheet,14,,270,45,,,,,,,,,,
160-2015,160,2015,Nickols , Webberville,"Austin, TX","Nickols & Webberville,Austin, TX",JB,,22,230,540,28,,,,,,,,,,
161-2015,161,2015,Needham , Whalebridge Lns,"Austin, TX","Needham & Whalebridge Lns,Austin, TX",,,11,,161,34,,,,,,,,,,
168-2015,168,2015,Springdale Rd. , Breeds Hill,"Austin, TX","Springdale Rd. & Breeds Hill,Austin, TX",BMM,,22,,400,59,,,,,,,,,,
171-2015,171,2015,14th , Comal,"Austin, TX","14th & Comal,Austin, TX",NK,,,,,,,,,,,,,,,
173-2015,173,2015,Alta Vista Ave. , Woodland,"Austin, TX","Alta Vista Ave. & Woodland,Austin, TX",BB,,13,,200,120,,,38,,,,,,,
174-2015,174,2015,49th , Bennet,"Austin, TX","49th & Bennet,Austin, TX",ACO,,210,,350,280,,,,,,,,,,
179-2015,179,2015,Dorman Dr. , Jilbur,"Austin, TX","Dorman Dr. & Jilbur,Austin, TX",LR,,21,,290,81,,,,,,,,,,
180-2015,180,2015,Dorman Dr. , Jilbur,"Austin, TX","Dorman Dr. & Jilbur,Austin, TX",LR,,14,,270,45,,,,,,,,,,
189-2015,189,2015,Sunny Slope , RR 258,"Austin, TX","Sunny Slope & RR 258,Austin, TX",MWP,,120,120,210,260,,,,,,,,,,
191-2015,191,2015,Sunny Slope , RR 258,"Austin, TX","Sunny Slope & RR 258,Austin, TX",MWP,,45,,,87,,,,,,,,,,
192-2015,192,2015,Sunny Slope , RR 258,"Austin, TX","Sunny Slope & RR 258,Austin, TX",MWP,,45,,130,120,,,,,,,,,,
193-2015,193,2015,MoPac , C.Chavez,"Austin, TX","MoPac & C.Chavez,Austin, TX",# 3,,15,,267,76,,,,,,,,,,
194-2015,194,2015,MoPac , C.Chavez,"Austin, TX","MoPac & C.Chavez,Austin, TX",# 3,,20,,240,75,,,,,,,,,,
195-2015,195,2015,Hart , Far West,"Austin, TX","Hart & Far West,Austin, TX",,,,,204,67,,,32,,,,,,,
196-2015,196,2015,Hart , Far West,"Austin, TX","Hart & Far West,Austin, TX",,,13,,210,58,,,,,,,,,,
197-2015,197,2015,Hart , Far West,"Austin, TX","Hart & Far West,Austin, TX",,,,,196,65,,,,,,,,,,
198-2015,198,2015,Hart , Far West,"Austin, TX","Hart & Far West,Austin, TX",,,,,170,64,,,,,,,,,,
199-2015,199,2015,Nelson Ranch Loop , Anderson Mill Rd.,"Austin, TX","Nelson Ranch Loop & Anderson Mill Rd.,Austin, TX",,,,,230,38,,,,,,,,,,
200-2015,200,2015,Nelson Ranch Loop , Anderson Mill Rd.,"Austin, TX","Nelson Ranch Loop & Anderson Mill Rd.,Austin, TX",,,,,198,66,,,,,,,,,,
202-2015,202,2015,I-35 , Flores,"Austin, TX","I-35 & Flores,Austin, TX",RS,,10,,112,76,,,32,,,,,,,
204-2015,204,2015,Hatley , Wallis,"Austin, TX","Hatley & Wallis,Austin, TX",FY,,17,,389,37,,,,,,,,,,
207-2015,207,2015,Great Valley , Danridge,"Austin, TX","Great Valley & Danridge,Austin, TX",GV,,10,,192,122,,,33,,,,,,,
