,Full Address,Lat,Lon,Lead,Arsenic
0,"Travis,Belmal,Austin,TX",30.26759,-97.74299,341.32,0
1,"SalemWalkDr,CedarGlen,Austin,TX",30.21028,-97.78342,8.61,0
2,"BytonLoop,CherryCreek,Austin,TX",,,0,5.28
3,"Goodwind,Gunter,Austin,TX",30.26842,-97.69726,10.33,0
4,"SunshineDr,51st,Austin,TX",30.32939,-97.72704,41.15,0
5,"ForestRidge,IndigoTrail,Austin,TX",30.39257,-97.89067,9.76,0
6,"LakePines,Longdraw,Austin,TX",30.5131,-97.72484,0,6.57
7,"BullardDr,ShoalCreek,Austin,TX",30.34127,-97.74868,18.67,7.01
8,"EskewDr,WakefieldDr,Austin,TX",30.20559,-97.84262,8.47,0
9,"MLK,VanceCir,Austin,TX",30.19503,-97.77704,108.3,22.11
10,"Sahara,Libyan,Austin,TX",30.20798,-97.79263,15.84,0
11,"Meadgreen,Parkfield,Austin,TX",30.38175,-97.69796,9.56,0
12,"AWGrimes,RoundVille,Austin,TX",30.26759,-97.74299,0,0
13,"Scales,Mathe,Austin,TX",30.26759,-97.74299,8.81,0
14,"Meander,Redonodo,Austin,TX",30.26759,-97.74299,16.12,0
15,"Grimes,PflugervillePkwy,Austin,TX",30.28574,-97.75497,8.72,0
16,"Coppermead,Edenbourgh,Austin,TX",30.33293,-97.64522,11.2,8.96
17,"10th,Northwestern,Austin,TX",30.26604,-97.71402,19.37,0
18,"BalconesDr,35thst.,Austin,TX",30.31375,-97.76755,23.91,0
19,"Meadgren,Humington,Austin,TX",30.38175,-97.69704,0,0
20,"SilvermineDr,LitteDeerCrossing,Austin,TX",30.24131,-97.89142,13.81,0
21,"PotomacCircle,Shenandoah,Austin,TX",30.34694,-97.69133,11.84,5.49
22,"MLK,Hilldale,Austin,TX",30.28668,-97.67156,15.01,0
23,"46tth,Shoalwood,Austin,TX",30.31842,-97.74428,24.87,0
24,"HarrisonLn,BenWhite,Austin,TX",30.22534,-97.67395,14.24,0
25,"52nd,LancasterCt,Austin,TX",30.26759,-97.74299,13.08,0
26,"CoffeeBean,SambucaCir,Austin,TX",30.46388,-97.68706,20.4,0
27,"BearCanyon,SenderoVerde,Austin,TX",30.25448,-97.82923,10.57,7.2
28,"JimThorpe,AndersonDr,Austin,TX",30.15379,-97.84257,12.87,10.68
29,"Colberg,Ruckland,Austin,TX",30.21064,-97.88908,10.95,6.78
30,"MeadowWay,MartinCrossing,Austin,TX",30.23397,-97.71542,7.83,0
31,"AndreZilkerRd,WilliamBarton,Austin,TX",30.26574,-97.76932,20.27,0
32,"W.LiveOakSt.,2ndSt.,Austin,TX",30.24536,-97.76055,80.82,0
33,"InspirationDr,GunnisonPass,Austin,TX",30.30948,-97.65303,14.02,0
34,"AndrewZilker,WilliamBarton,Austin,TX",30.26574,-97.76932,0,5.84
35,"FireOak,Pradera,Austin,TX",30.222,-97.85906,15.79,6.22
36,"PleasantValley,Kuhlman,Austin,TX",30.26667,-97.71058,57.6,0
37,"Geraghty,Vine,Austin,TX",30.34698,-97.74303,27.65,0
38,"Franciso,Pedernales,Austin,TX",30.26759,-97.74299,0,0
39,"Pradera,Fireoak,Austin,TX",30.4227,-97.77116,10.62,0
40,"Brodie,Westgate,Austin,TX",30.26759,-97.74299,0,5.09
41,"McCulloughSt,St.Anthony,Austin,TX",30.30008,-97.76254,10.33,8.13
42,"Manowar,Whirlaway,Austin,TX",30.26759,-97.74299,10,0
43,"FestivalGarden,HollyShores,Austin,TX",30.23883,-97.71875,16.34,0
44,"McCulloughSt,Spring,Austin,TX",30.30085,-97.76439,26.1,0
45,"Gilber,MountainView,Austin,TX",30.29636,-97.77208,21.59,6.65
46,"Florencia,PinonVista,Austin,TX",30.29014,-97.64374,0,7.35
47,"NeansDr,CrippleCreek,Austin,TX",30.37528,-97.70178,12.82,0
48,"Fiesta,Lyons,Austin,TX",30.26351,-97.70674,24.13,0
49,"290E,973,Austin,TX",,,8.95,0
50,"ReddSt,DianeDr,Austin,TX",30.2247,-97.78465,27.88,10.6
51,"TomWooten,TomWooten,Austin,TX",30.35497,-97.7872,9.36,0
52,"OldKimbroRd,Us-290East,Austin,TX",,,10.73,10.33
53,"EastsideMemorial,Windsor,Austin,TX",30.29861,-97.77144,72.74,0
54,"TomWooten,TomWooten,Austin,TX",30.35497,-97.7872,0,6.16
55,"SentinelHill,HeritageOaks,Austin,TX",30.21,-97.99036,0,0
56,"EastsideMemorial,SmallGrovebananaTree,Austin,TX",30.29527,-97.74002,9.84,0
57,"TomWooten,ScottIsland,Austin,TX",30.35626,-97.78716,0,0
58,"Pecan,Heatherwilde,Austin,TX",30.26759,-97.74299,175.46,0
59,"EastsideMemorial,Cafeteria,Austin,TX",30.29527,-97.74002,13.64,0
60,"South5th,TerraceHillDr,Austin,TX",30.23705,-97.76763,11.79,0
61,"McBeetVaugh,Gaven,Austin,TX",30.26759,-97.74299,35.59,0
62,"EastsideMemorial,LargeBananaTree,Austin,TX",30.29527,-97.74002,13.48,7.59
63,"E.11th,Alamo,Austin,TX",30.2530528,-97.7375257,19.73,0
64,"Slaughter,BradshawDr,Austin,TX",30.26759,-97.74299,0,0
65,"EastsideMemorial,VeggieGarden,Austin,TX",30.29527,-97.74002,0,0
66,"Connor,Cambourne,Austin,TX",30.41189,-97.65058,7.14,0
67,"Slughter,Dradshaw,Austin,TX",30.26759,-97.74299,10.52,0
68,"HowardLn,McAllenPass,Austin,TX",30.41929,-97.66091,0,0
69,"RosemaryLn,OakPlaza,Austin,TX",30.35102,-97.69738,40.47,0
70,"Slaughter,Brasher,Austin,TX",30.17728,-97.83695,0,0
71,"9th,Henderson,Austin,TX",30.27361,-97.75171,58.7,0
72,"Tesoro,GreenRiviers,Austin,TX",30.4465,-97.75067,12.02,0
73,"NortheastDr,Arnold,Austin,TX",30.31045,-97.67357,9.58,0
74,"9th,Henderson,Austin,TX",30.27361,-97.75171,25.45,0
75,"Tesoro,GreenRiviers,Austin,TX",30.4465,-97.75067,19.25,0
76,"EastsideMemorial,HumanityCourtyard,Austin,TX",30.29527,-97.74002,14.46,0
77,"9th,Henderson,Austin,TX",30.27361,-97.75171,29.63,0
78,"SentinelHill,HeritageOaks,Austin,TX",30.21,-97.99036,7.46,0
79,"EastsideMemorial,OldCorner,Austin,TX",30.29527,-97.74002,8.2,7.43
80,"Rundberg,Teasdale,Austin,TX",30.35405,-97.6815,8.14,0
81,"9th,Henderson,Austin,TX",30.27361,-97.75171,31.49,0
82,"LiveOak,Schriber,Austin,TX",30.23581,-97.74289,16.52,6.2
83,"BartonSprings,Stratford,Austin,TX",30.26673,-97.77015,27.87,0
84,"NuttyBrown,SignalHill,Austin,TX",30.19163,-97.97138,16.6,0
85,"Mariposa,Parker,Austin,TX",30.23519,-97.7351,19.29,0
86,"BartonSprings,Stratford,Austin,TX",30.26673,-97.77015,23.31,0
87,"MLKJr,EMFranklin,Austin,TX",30.28375,-97.69614,9.23,0
88,"Mahone,Burnet,Austin,TX",30.35813,-97.73031,21.07,0
89,"BartonSprings,Stratford,Austin,TX",30.26673,-97.77015,17.36,0
90,"Philomena,Matti,Austin,TX",30.29994,-97.70292,0,6.89
91,"ThamesDr,Wellington,Austin,TX",30.30933,-97.68704,12.67,0
92,"WallerSt,FloresSt,Austin,TX",30.25351,-97.73555,17.18,0
93,"47th,Rosedale,Austin,TX",30.31842,-97.74079,105.45,0
94,"WallerSt,NashHernandez,Austin,TX",30.25242,-97.73549,21.76,0
95,"ElRey,ElDorado,Austin,TX",30.22027,-97.9104,18.84,13.4
96,"47th,Rosedale,Austin,TX",30.31842,-97.74079,0,5.61
97,"ElRey,ElDorado,Austin,TX",30.22027,-97.9104,11.16,0
98,"ElRey,ElDorado,Austin,TX",30.22027,-97.9104,11.56,7.75
99,"LandGrantWay,CottonGin,Austin,TX",,,0,0
100,"NormanTrail,Slaughter,Austin,TX",30.19313,-97.85866,19.86,9.23
101,"DeerTrack,MaverickDr,Austin,TX",30.42715,-97.73611,21.65,0
102,"TamarackTrl,Manhasset,Austin,TX",30.43018,-97.71546,23.32,8.91
103,"Exeter,Roxmoor,Austin,TX",30.30613,-97.68266,13.07,0
104,"43rd,Rosedale,Austin,TX",30.31336,-97.74405,42.18,14.38
105,"Tillery,Thompson,Austin,TX",30.2674,-97.70161,16.95,0
106,"Slaughter,SydneyMarilyn,Austin,TX",30.1647,-97.79661,0,0
107,"PicketRope,Cinchring,Austin,TX",30.41518,-97.68381,0,6.69
108,"Vasquez,Montana,Austin,TX",30.2307,-97.69403,15,0
109,"Wynne,Albert,Austin,TX",30.26759,-97.74299,23.47,9.66
110,"Linda,Wheless,Austin,TX",30.31486,-97.6899,15.4,7.05
111,"SageHollow,CricketHollow,Austin,TX",30.38544,-97.70244,12.91,0
112,"Suffolk,Belfast,Austin,TX",30.30905,-97.69931,35.83,0
113,"Vega,SouthwestParkway,Austin,TX",30.24953,-97.85305,10.77,0
114,"PalmaPlaza,Woodlawn,Austin,TX",30.2826,-97.76081,117.51,23.6
115,"Waterston,Woodlawn,Austin,TX",30.28196,-97.76136,318.58,26.46
116,"Vega,SouthwestParkway,Austin,TX",30.24953,-97.85305,24.23,0
117,"Vega,SouthwestParkway,Austin,TX",30.24953,-97.85305,15.29,0
118,"PattersonRd,BeeCaveRd,Austin,TX",30.31318,-97.88132,0,8.32
119,"W30thSt,BeverlyRd,Austin,TX",30.30336,-97.75619,45.31,0
120,"TanglebriarTr,ElSalido,Austin,TX",30.45702,-97.82146,0,8.14
121,"Vallejo,Hardy,Austin,TX",30.34288,-97.73491,17.77,14.28
122,"Woodland,Woodleigh,Austin,TX",30.26759,-97.74299,102.7,0
123,"Richcreek,St.LouisSt.,Austin,TX",30.34959,-97.73233,17.57,0
124,"ConvictHill,Whistlestop,Austin,TX",30.22379,-97.86459,8.97,6.35
125,"Parmer,LamplightVillage,Austin,TX",30.41577,-97.69596,8.16,0
126,"GracyFarmsLn,SwearingenDr,Austin,TX",30.39566,-97.69259,16.65,0
127,"Parmer,LamplightVillage,Austin,TX",30.41577,-97.69596,0,0
128,"Parmer,LamplightVillage,Austin,TX",30.41577,-97.69596,0,0
129,"Lynridge,DubuqueLn,Austin,TX",30.31726,-97.66517,19.91,0
130,"Loop1,Enfield,Austin,TX",30.278824,-97.7519266,53.81,0
131,"Woodmont,StamfordLn,Austin,TX",30.2919,-97.76931,0,0
132,"Maine,Jamestown,Austin,TX",30.3552,-97.71255,0,0
133,"CarlsbadDr,NapaDr,Austin,TX",30.31219,-97.92525,9.98,0
134,"Ribbecke,Webberville,Austin,TX",30.27935,-97.68289,30.21,0
135,"9th,Winflow,Austin,TX",30.27606,-97.75756,14.05,0
136,"Shelley,W.91/2St.,Austin,TX",30.27592,-97.75597,100.69,12.23
137,"W.10th,Maufrais,Austin,TX",30.27769,-97.75761,21.34,0
138,"Winwick,N.Shields,Austin,TX",30.42566,-97.69668,12.09,6.9
139,"JesterBlvd,BerryconeCv,Austin,TX",30.38272,-97.79881,8.45,0
140,"JesterBlvd,BerryconeCv,Austin,TX",30.38272,-97.79881,9.88,6.55
141,"SawyerFayLn,JackRyanLn,Austin,TX",30.16562,-97.79749,0,7.87
142,"Moutainclimb,DryCreek,Austin,TX",,,16.8,0
143,"Gloucester,Claymoor,Austin,TX",30.29924,-97.67956,21.25,0
144,"HazelhurstDr,VillaPark,Austin,TX",30.46122,-97.77166,0,0
145,"48th,RedRiver,Austin,TX",30.30835,-97.71734,19.55,8.53
146,"SaraDr,EbertAve,Austin,TX",30.26764,-97.68712,23.99,0
147,"ScofieldLn,RampartSt,Austin,TX",30.4187,-97.68999,12.49,0
148,"Pease,Norhumberland,Austin,TX",30.26759,-97.74299,36.53,0
149,"15thst,Pease,Austin,TX",30.27841,-97.74455,14.65,0
150,"Niles,Woodlawn,Austin,TX",30.28641,-97.75868,77.58,0
151,"W.MarySt.,S2nd,Austin,TX",30.24696,-97.75783,13.01,0
152,"jamieDr,Siltstone,Austin,TX",30.26759,-97.74299,12.45,0
153,"Woodlawn,CromwellHill,Austin,TX",30.28553,-97.75913,13.56,0
154,"BelclaireLn,BlueValley,Austin,TX",30.18246,-97.79274,17.15,0
155,"Belfast,Ridgehaven,Austin,TX",30.3127,-97.69703,23.8,0
156,"Cooper,BodarkLn,Austin,TX",30.19486,-97.79348,15.1,0
157,"JeanDr,Applegate,Austin,TX",30.37076,-97.68523,38.17,0
158,"JeanDr,Applegate,Austin,TX",30.37076,-97.68523,13.76,0
159,"49th,Duval,Austin,TX",30.31202,-97.72136,13.46,7.39
160,"Greenheard,Woodbine,Austin,TX",30.29163,-97.75521,23.04,0
